"land";"code";"saeugling";"einkommen"
"Afghanistan";"AFG";46,5;490,2323142
"Albania";"ALB";8,6;4319,487639
"Algeria";"DZA";20;3114,08073
"American Samoa";"ASM";;
"Andorra";"AND";2,8;
"Angola";"AGO";50,2;1700,318461
"Antigua and Barbuda";"ATG";5,8;
"Argenti";"ARG";8,2;8160,572029
"Armenia";"ARM";10,5;4024,138558
"Aruba";"ABW";;
"Australia";"AUS";3,1;42151,08638
"Austria";"AUT";2,8;41179,54893
"Azerbaijan";"AZE";18,2;3501,650356
"Bahamas, The";"BHS";10,9;31439,33611
"Bahrain";"BHR";5,9;19490,59179
"Bangladesh";"BGD";25,6;1777,276295
"Barbados";"BRB";11,7;15641,52675
"Belarus";"BLR";2,4;5282,873642
"Belgium";"BEL";2,7;38208,4492
"Belize";"BLZ";10,6;3549,716206
"Benin";"BEN";59;1058,616792
"Bermuda";"BMU";;
"Bhutan";"BTN";23,8;2719,831694
"Bolivia";"BOL";21,2;2986,569811
"Bosnia and Herzegovi";"BIH";5,1;5113,447455
"Botswa";"BWA";32,3;5617,684648
"Brazil";"BRA";12,4;7628,82845
"British Virgin Islands";"VGB";;
"Brunei Darussalam";"BRN";9,6;24693,87532
"Bulgaria";"BGR";5,6;8260,45734
"Burki Faso";"BFA";53,9;672,7306602
"Burundi";"BDI";39,9;199,8877276
"Cabo Verde";"CPV";12,8;2997,514773
"Cambodia";"KHM";22,8;1377,342155
"Cameroon";"CMR";50,2;1262,06196
"Cada";"CAN";4,2;37829,48274
"Cayman Islands";"CYM";;
"Central African Republic";"CAF";81;404,4803172
"Chad";"TCD";69,1;524,1752698
"Channel Islands";"CHI";;
"Chile";"CHL";6;11718,54853
"Chi";"CHN";6,8;8333,876842
"Colombia";"COL";11,8;5246,157424
"Comoros";"COM";48,3;1228,465208
"Congo, Dem. Rep.";"COD";66,1;506,9559797
"Congo, Rep.";"COG";34,9;658,0384877
"Costa Rica";"CRI";7,5;10791,98538
"Cote d'Ivoire";"CIV";58,6;2115,36891
"Croatia";"HRV";4,1;12495,65202
"Cuba";"CUB";3,8;
"Curacao";"CUW";;
"Cyprus";"CYP";1,8;24307,1084
"Czech Republic";"CZE";2,5;17342,72208
"Denmark";"DNK";3,2;51806,73643
"Djibouti";"DJI";48,4;2923,017844
"Dominica";"DMA";30,9;6767,695223
"Dominican Republic";"DOM";23,5;7406,016319
"Ecuador";"ECU";12;4696,380706
"Egypt, Arab Rep.";"EGY";17,3;2615,172607
"El Salvador";"SLV";11,4;3398,076488
"Equatorial Guinea";"GNQ";60,4;3302,105554
"Eritrea";"ERI";30,5;
"Estonia";"EST";1,9;19446,01214
"Eswatini";"SWZ";38,6;2920,066136
"Ethiopia";"ETH";36,5;744,1434765
"Faroe Islands";"FRO";;
"Fiji";"FJI";21,7;4895,594338
"Finland";"FIN";1,9;39812,05707
"France";"FRA";3,8;33723,90299
"French Polynesia";"PYF";;
"Gabon";"GAB";31,1;5003,584552
"Gambia, The";"GMB";35,9;612,1779842
"Georgia";"GEO";8,5;3977,48713
"Germany";"DEU";3,2;39093,19963
"Gha";"GHA";33,9;1832,489588
"Gibraltar";"GIB";;
"Greece";"GRC";3,3;16096,92647
"Greenland";"GRL";;
"Greda";"GRD";14,7;
"Guam";"GUM";;
"Guatemala";"GTM";20,7;3929,843269
"Guinea";"GIN";63,8;843,5598937
"Guinea-Bissau";"GNB";52,3;711,898736
"Guya";"GUY";24,4;6339,718904
"Haiti";"HTI";48,2;1200,584652
"Honduras";"HND";14,5;2235,501124
"Hong Kong SAR, Chi";"HKG";;
"Hungary";"HUN";3;13581,69316
"Iceland";"ISL";1,6;57828,96317
"India";"IND";28,3;1821,960921
"Indonesia";"IDN";20,2;3280,307551
"Iran, Islamic Rep.";"IRN";12;
"Iraq";"IRQ";21,8;4545,382634
"Ireland";"IRL";2,8;43036,40686
"Isle of Man";"IMN";;
"Israel";"ISR";3;37638,05315
"Italy";"ITA";2,7;27895,07427
"Jamaica";"JAM";11,9;5040,161089
"Japan";"JPN";1,8;32481,50892
"Jordan";"JOR";13,4;4131,542779
"Kazakhstan";"KAZ";9,3;6716,639434
"Kenya";"KEN";31,9;1492,0704
"Kiribati";"KIR";40,1;3125,532752
"Korea, Dem. People's Rep.";"PRK";13,1;
"Korea, Rep.";"KOR";2,7;25779,87589
"Kosovo";"XKX";;
"Kuwait";"KWT";6,8;
"Kyrgyz Republic";"KGZ";16,4;1052,878301
"Lao PDR";"LAO";36,4;2034,739406
"Latvia";"LVA";3,1;13773,74487
"Lebanon";"LBN";6,2;5952,843246
"Lesotho";"LSO";68,1;1130,666118
"Liberia";"LBR";62,2;379,5860744
"Libya";"LBY";9,9;6414,603716
"Liechtenstein";"LIE";;
"Lithuania";"LTU";3;16504,32214
"Luxembourg";"LUX";2,2;60409,14554
"Macao SAR, Chi";"MAC";;
"Madagascar";"MDG";36,5;453,9607004
"Malawi";"MWI";30,9;363,0782946
"Malaysia";"MYS";7,3;8223,628645
"Maldives";"MDV";6,5;8433,125675
"Mali";"MLI";60,2;797,5228562
"Malta";"MLT";6,1;
"Marshall Islands";"MHL";26,4;
"Mauritania";"MRT";50,1;1408,717692
"Mauritius";"MUS";14,3;11071,05449
"Mexico";"MEX";12,2;7749,904979
"Micronesia, Fed. Sts.";"FSM";24,5;
"Moldova";"MDA";12,4;4124,146671
"Moco";"MCO";2,5;
"Mongolia";"MNG";13,4;3151,471429
"Montenegro";"MNE";2;7628,684483
"Morocco";"MAR";18,3;2802,783453
"Mozambique";"MOZ";54,8;381,8721167
"Myanmar";"MMR";35,8;1269,086039
"mibia";"M";30,7;4201,815244
"uru";"NRU";25,7;
"Nepal";"NPL";25,6;1009,04294
"Netherlands";"NLD";3,5;43778,14931
"New Caledonia";"NCL";;
"New Zealand";"NZL";3,9;34344,57097
"Nicaragua";"NIC";14,3;1718,55601
"Niger";"NER";46,7;526,3529672
"Nigeria";"NGA";74,2;1779,188548
"North Macedonia";"MKD";5,3;4870,406502
"Northern Maria Islands";"MNP";;
"Norway";"NOR";2;60776,13037
"Oman";"OMN";9,8;9188,761625
"Pakistan";"PAK";55,7;1186,309109
"Palau";"PLW";15,8;
"Pama";"PAN";12,8;13274,437
"Papua New Guinea";"PNG";35,9;2338,573244
"Paraguay";"PRY";16,6;4885,118638
"Peru";"PER";10,3;5955,763384
"Philippines";"PHL";21,6;3471,839862
"Poland";"POL";3,8;13254,8157
"Portugal";"PRT";3,1;18590,61919
"Puerto Rico";"PRI";;
"Qatar";"QAT";5,6;45338,1717
"Romania";"ROU";5,7;10873,69313
"Russian Federation";"RUS";4,9;8940,212947
